file,is_smelly,n_nodes,n_edges,avg_in_deg,avg_out_deg,avg_tot_deg,gini_in_deg,gini_out_deg,gini_tot_deg,hhi_in_deg,hhi_out_deg,hhi_tot_deg,maxdeg_share,top3deg_share,max_over_median_deg,centr_in_deg,centr_out_deg,centr_tot_deg,centr_betweenness,thr_mu_plus_sigma_deg,num_hubs_arcade,ratio_hubs_arcade,largest_scc_ratio
opennlp-hl-23-24-25_762_0314_2012_7d91ff2e.pt,0.0,8.0,15.0,1.875,1.875,3.75,0.44166666666666665,0.4916666666666667,0.25,0.2177777777777778,0.28,0.1511111111111111,0.23333333333333334,0.5666666666666667,1.9999999942857143,0.5102040816326531,0.8367346938775511,0.30952380952380953,0.047619047619047616,5.463913650100261,1.0,0.125,0.125
commons-lang-hl-23-24-25_861_0146_7588_7e808a8c.pt,1.0,11.0,26.0,2.3636363636363638,2.3636363636363638,4.7272727272727275,0.41258741258741255,0.5034965034965034,0.2622377622377623,0.14792899408284024,0.20710059171597636,0.1131656804733728,0.19230769230769232,0.46153846153846156,2.49999999375,0.51,0.8400000000000001,0.3222222222222221,0.045,7.066305514594292,2.0,0.18181818181818182,0.09090909090909091
commons-lang-hl-23-24-25_1766_0114_7664_7d8433db.pt,0.0,8.0,22.0,2.75,2.75,5.5,0.4204545454545454,0.34090909090909094,0.19318181818181823,0.1983471074380165,0.1818181818181818,0.14049586776859505,0.20454545454545456,0.5227272727272727,1.7999999964,0.5306122448979591,0.6938775510204083,0.3333333333333334,0.1904761904761905,7.436491673103708,1.0,0.125,0.5
commons-lang-hl-23-24-25_265_0536_8429_7d419b9a.pt,0.0,9.0,28.0,3.111111111111111,3.111111111111111,6.222222222222222,0.35714285714285715,0.4047619047619048,0.2222222222222222,0.163265306122449,0.17857142857142855,0.12882653061224492,0.17857142857142858,0.48214285714285715,1.666666663888889,0.6875,0.6875,0.30357142857142855,0.10267857142857142,8.706742197221988,2.0,0.2222222222222222,0.3333333333333333
opennlp-hl-23-24-25_4665_0300_2065_6fde608c.pt,1.0,21.0,94.0,4.476190476190476,4.476190476190476,8.952380952380953,0.42249240121580545,0.48328267477203646,0.28368794326241137,0.07831598008148483,0.09529198732458126,0.06020823902218199,0.10638297872340426,0.28191489361702127,2.4999999968749997,0.44749999999999995,0.8150000000000001,0.30526315789473696,0.13269078947368418,13.555446085178886,3.0,0.14285714285714285,0.3333333333333333
antlr4-hl-23-24-25_850_0246_9111_d641b6b5.pt,1.0,14.0,66.0,4.714285714285714,4.714285714285714,9.428571428571429,0.3203463203463203,0.4307359307359308,0.21320346320346317,0.10146923783287419,0.12213039485766759,0.08172635445362719,0.11363636363636363,0.32575757575757575,1.87499999765625,0.6035502958579881,0.6863905325443789,0.2499999999999999,0.18145956607495067,13.008561167469047,2.0,0.14285714285714285,0.7142857142857143
commons-lang-hl-23-24-25_202_0403_7886_33ab1ef5.pt,0.0,9.0,26.0,2.888888888888889,2.888888888888889,5.777777777777778,0.34188034188034183,0.40170940170940167,0.2435897435897436,0.15976331360946747,0.18343195266272191,0.13239644970414202,0.19230769230769232,0.5,1.666666663888889,0.578125,0.71875,0.3392857142857143,0.09821428571428571,8.306623705942453,2.0,0.2222222222222222,0.3333333333333333
commons-lang-hl-23-24-25_863_0119_7747_89282657.pt,1.0,11.0,26.0,2.3636363636363638,2.3636363636363638,4.7272727272727275,0.41258741258741255,0.5034965034965034,0.2622377622377623,0.14792899408284024,0.2071005917159764,0.1131656804733728,0.19230769230769232,0.46153846153846156,2.49999999375,0.5100000000000001,0.8400000000000001,0.32222222222222213,0.045,7.066305514594292,2.0,0.18181818181818182,0.09090909090909091
commons-lang-hl-23-24-25_158_0998_7642_2f516043.pt,0.0,7.0,17.0,2.4285714285714284,2.4285714285714284,4.857142857142857,0.35294117647058826,0.3865546218487395,0.18487394957983191,0.2110726643598616,0.22491349480968859,0.15916955017301038,0.20588235294117646,0.5588235294117647,1.3999999972000001,0.49999999999999994,0.6944444444444445,0.25,0.036111111111111115,6.498446470439436,1.0,0.14285714285714285,0.2857142857142857
antlr4-hl-23-24-25_850_0209_9354_281b762b.pt,0.0,14.0,66.0,4.714285714285714,4.714285714285714,9.428571428571429,0.3203463203463203,0.4307359307359308,0.21320346320346317,0.10146923783287419,0.12213039485766759,0.0817263544536272,0.11363636363636363,0.32575757575757575,1.87499999765625,0.6035502958579881,0.6863905325443789,0.2499999999999999,0.1814595660749507,13.008561167469049,2.0,0.14285714285714285,0.7142857142857143
