,smelly
num_communities,0.6243359723931214
density,-0.5958206344154952
avg_shortest_path,0.5958206344154952
deg_centralization,0.5777656751065892
largest_comp_size,0.5685610153454316
transitivity,-0.5639492938229518
cyclomatic_complexity,0.528758262015735
modularity,0.4815611149461824
avg_degree,0.4692166261942395
avg_clustering,-0.3845770195741776
diameter,0.36985651858317037
bc_centralization,0.03792343237157215
assortativity,-0.017599191004414608
